cemetery_id,place_id,cemetery_name,cemetery_address,status,cemetery_map_url
CEM_01,,Новий міський цвинтар,вул. Перемишльська,,
,,сільському цвинтарі с. Козлова,,,
,,сільському цвинтарі с. Козлова,,,
,,міському цвинтарі м. Самбора,вул. Перемишльська,,
,,новому міському цвинтарі м. Самбора,вул. Перемишльська,,
,,сільському цвинтарі с. Козлова,,,
,,сільському цвинтарі с. Козлова,,,
,,сільському цвинтарі д. Горбунова,,,
,,сільському цвинтарі с. Козлова,,,
,,сільському цвинтарі с. Городища,,,
,,старому міському цвинтарі м. Самбора,вул. Перемишльська,,
,,сільському цвинтарі с. Лелеч,,,
,,сільському цвинтарі с. Лелеч,,,
,,сільському цвинтарі с. Городища,,,
,,сільському цвинтарі с. Городища,,,
,,лікарняному цвинтарі м. Дрогобича,,,
,,парафіяльному цвинтарі с. Городища,,,
,,сільському цвинтарі с. Крева-Назарова (Назарове),,,
,,сільському цвинтарі с. Крева-Назарова (Назарове),,,
,,сільському цвинтарі с. Бабина,,,
,,сільському цвинтарі с. Бабина,,,
,,сільському цвинтарі с. Бабина,,,
,,сільському цвинтарі с. Бабина,,,
,,сільському цвинтарі с. Бабина,,,
,,сільському цвинтарі с. Бабина,,,
,,сільському цвинтарі с. Бабина,,,
,,сільському цвинтарі с. Лелеч,,,
,,сільському цвинтарі с. Лелеч,,,
,,сільському цвинтарі с. Лелеч,,,
,,сільському цвинтарі с. Лелеч,,,
,,сільському цвинтарі с. Лелеч,,,
,,сільському цвинтарі с. Лелеч,,,
,,сільському цвинтарі с. Селець,,,
,,сільському цвинтарі с. Городища,,,
,,сільському цвинтарі с. Городища,,,
,,сільському цвинтарі с. Городища,,,
,,сільському цвинтарі с. Городища,,,
,,сільському цвинтарі с. Городища,,,
,,сільському цвинтарі с. Городища,,,
,,сільському цвинтарі с. Крева-Назарова (Назарове),,,
,,сільському цвинтарі с. Крева-Назарова (Назарове),,,
,,сільському цвинтарі с. Крева-Назарова (Назарове),,,
,,сільському цвинтарі с. Крева-Назарова (Назарове),,,
,,сільському цвинтарі с. Козлова,,,
,,парафіяльному цвинтарі с. Козлова,,,
,,парафіяльному цвинтарі с. Бабина,,,
,,парафіяльному цвинтарі с. Матвєєва,,,
,,парафіяльному цвинтарі с. Матвєєва,,,
,,парафіяльному цвинтарі с. Бабина,,,
,,парафіяльному цвинтарі с. Бабина,,,
,,парафіяльному цвинтарі Воскресенського Осеченського цвинтаря,,,
,,парафіяльному цвинтарі Воскресенського Осеченського цвинтаря,,,
,,парафіяльному цвинтарі Воскресенського Осеченського цвинтаря,,,
,,парафіяльному цвинтарі Воскресенського Осеченського цвинтаря,,,
,,парафіяльному цвинтарі Воскресенського Осеченського цвинтаря,,,
,,сільському цвинтарі с. Лелеч,,,
,,сільському цвинтарі с. Лелеч,,,
,,сільському цвинтарі с. Лелеч,,,
,,сільському цвинтарі с. Лелеч,,,
,,сільському цвинтарі с. Лелеч,,,
,,сільському цвинтарі с. Лелеч,,,
,,сільському цвинтарі с. Лелеч,,,
,,сільському цвинтарі с. Лелеч,,,
,,сільському цвинтарі с. Лелеч,,,
,,сільському цвинтарі с. Лелеч,,,
,,сільському цвинтарі с. Лелеч,,,
,,сільському цвинтарі с. Лелеч,,,
,,сільському цвинтарі с. Городища,,,
,,сільському цвинтарі с. Ступниці,,,
,,сільському цвинтарі с. Ступниці,,,
,,сільському цвинтарі с. Городища,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,сільському цвинтарі с. Лелеч,,,
,,сільському цвинтарі с. Лелеч,,,
,,сільському цвинтарі с. Лелеч,,,
,,сільському цвинтарі с. Лелеч,,,
,,сільському цвинтарі с. Лелеч,,,
,,сільському цвинтарі с. Лелеч,,,
,,,,,
,,,,,
,,,,,
,,сільському цвинтарі с. Лелеч,,,
,,сільському цвинтарі с. Лелеч,,,
,,,,,
,,сільському цвинтарі с. Угерців Заплатинських,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,сільському цвинтарі с. Лелеч,,,
,,сільському цвинтарі с. Лелеч,,,