church_id,date_start,date_end,c_admin_division
PL_TYR_MYK,,1945-00-00,Сяноцький деканат / Перемишльська дієцезія / Римо-католицька церква
RU_BAB_MYK,,1775-05-06,Новгородська єпархія / Відомство православного сповідання
RU_BAB_MYK,1775-05-07,1917-12-31,Тверська єпархія / Відомство православного сповідання
RU_KOZ_S_VVE,,1775-05-06,Новгородська єпархія / Відомство православного сповідання
RU_KOZ_S_VVE,1775-05-07,1917-12-31,Тверська єпархія / Відомство православного сповідання
RU_KOZ_S_VVE_SOB,,1775-05-06,Новгородська єпархія / Відомство православного сповідання
RU_KOZ_S_VVE_SOB,1775-05-07,1917-12-31,Тверська єпархія / Відомство православного сповідання
RU_KRE_PET,,1775-05-06,Новгородська єпархія / Відомство православного сповідання
RU_KRE_PET,1775-05-07,1917-12-31,Тверська єпархія / Відомство православного сповідання
RU_LEL_TRI,,1778-12-31,Московська єпархія / Відомство православного сповідання
RU_LEL_TRI,1779-01-01,1917-12-31,Рязанська єпархія / Відомство православного сповідання
RU_MAT_PRE,,1775-05-06,Новгородська єпархія / Відомство православного сповідання
RU_MAT_PRE,1775-05-07,1917-12-31,Тверська єпархія / Відомство православного сповідання
RU_OVS_MYK,,1775-05-06,Новгородська єпархія / Відомство православного сповідання
RU_OVS_MYK,1775-05-07,1917-12-31,Тверська єпархія / Відомство православного сповідання
RU_POD_MYK,,1775-05-06,Новгородська єпархія / Відомство православного сповідання
RU_POD_MYK,1775-05-07,1917-12-31,Тверська єпархія / Відомство православного сповідання
RU_POG_NOV_POK,,1775-05-06,Новгородська єпархія / Відомство православного сповідання
RU_POG_NOV_POK,1775-05-07,1917-12-31,Тверська єпархія / Відомство православного сповідання
RU_OSE_TRI,,1775-05-06,Новгородська єпархія / Відомство православного сповідання
RU_OSE_TRI,1775-05-07,1917-12-31,Тверська єпархія / Відомство православного сповідання
RU_OSE_VOS,,1775-05-06,Новгородська єпархія / Відомство православного сповідання
RU_OSE_VOS,1775-05-07,1917-12-31,Тверська єпархія / Відомство православного сповідання
RU_TRE_MYH,,1775-05-06,Новгородська єпархія / Відомство православного сповідання
RU_TRE_MYH,1775-05-07,1917-12-31,Тверська єпархія / Відомство православного сповідання
RU_SPA_PRE,,1775-05-06,Новгородська єпархія / Відомство православного сповідання
RU_SPA_PRE,1775-05-07,1917-12-31,Тверська єпархія / Відомство православного сповідання
RU_TOL_RIZ,,1775-05-06,Новгородська єпархія / Відомство православного сповідання
RU_TOL_RIZ,1775-05-07,1917-12-31,Тверська єпархія / Відомство православного сповідання
RU_VOR_RIZ_B,,1775-05-06,Новгородська єпархія / Відомство православного сповідання
RU_VOR_RIZ_B,1775-05-07,1917-12-31,Тверська єпархія / Відомство православного сповідання
RU_VOR_RIZ_H,,1775-05-06,Новгородська єпархія / Відомство православного сповідання
RU_VOR_RIZ_H,1775-05-07,1917-12-31,Тверська єпархія / Відомство православного сповідання
RU_YASH_MYK,,1775-05-06,Новгородська єпархія / Відомство православного сповідання
RU_YASH_MYK,1775-05-07,1917-12-31,Тверська єпархія / Відомство православного сповідання
UA_HORD_DYM,,1946-03-10,Перемишльська єпархія / Греко-католицька церква
UA_HORD_DYM,1946-03-11,1989-11-30,Дрогобицька єпархія / Український екзархат / РПЦ
UA_HORD_DYM,1989-12-01,,Самбірсько-Дрогобицька єпархія / УГКЦ
UA_HOROD_DUH,,1946-03-10,Перемишльська єпархія / Греко-католицька церква
UA_HOROD_DUH,1946-03-11,1989-11-30,Дрогобицька єпархія / Український екзархат / РПЦ
UA_HOROD_DUH,1989-12-01,,Самбірсько-Дрогобицька єпархія / УГКЦ
UA_KUL_FLO,,1946-03-10,Перемишльська єпархія / Греко-католицька церква
UA_KUL_FLO,1946-03-11,1989-11-30,Дрогобицька єпархія / Український екзархат / РПЦ
UA_KUL_FLO,1989-12-01,,Самбірсько-Дрогобицька єпархія / УГКЦ
UA_LOPU_RIZ,,1946-03-10,Перемишльська єпархія / Греко-католицька церква
UA_LOPU_RIZ,1946-03-11,1989-11-30,Дрогобицька єпархія / Український екзархат / РПЦ
UA_LOPU_RIZ,1989-12-01,,Самбірсько-Дрогобицька єпархія / УГКЦ
UA_LVI_TRI,1991-00-00,,Львівська єпархія / Православна церква
UA_SAM_POK,1993-07-12,,Самбірсько-Дрогобицька єпархія / УГКЦ
UA_SAM_RIZ,,1946-03-10,Перемишльська єпархія / Греко-католицька церква
UA_SAM_RIZ,1946-03-11,1989-11-30,Дрогобицька єпархія / Український екзархат / РПЦ
UA_SAM_RIZ,1989-12-01,,Дрогобицько-Самбірська єпархія / Православна церква
UA_STU_YUR,,1946-03-10,Перемишльська єпархія / Греко-католицька церква
UA_STU_YUR,1946-03-11,1989-11-30,Дрогобицька єпархія / Український екзархат / РПЦ
UA_STU_YUR,1989-12-01,,Самбірсько-Дрогобицька єпархія / УГКЦ
UA_NAH_TRI,,1946-03-10,Перемишльська єпархія / Греко-католицька церква